X,Y,Z,Name,Confidence,N frame
3.62844110e+05,5.10775666e+06,1.92146412e+02,information--safety-area--g20,.34 ,245
3.62843186e+05,5.10762606e+06,1.80535418e+02,regulatory--stop--g10,.26 ,515
3.62845538e+05,5.10762603e+06,1.80536106e+02,regulatory--no-entry--g10,.36 ,516
3.62848087e+05,5.10762676e+06,1.80515530e+02,regulatory--no-entry--g10,.37 ,517
3.62851194e+05,5.10762837e+06,1.80481095e+02,regulatory--no-entry--g10,.42 ,518
3.62856714e+05,5.10762481e+06,1.80541164e+02,regulatory--no-entry--g10,.25 ,522
3.62859462e+05,5.10762705e+06,1.80512543e+02,regulatory--no-entry--g10,.57 ,523
3.62866445e+05,5.10762389e+06,1.80522571e+02,regulatory--stop--g10,.29 ,527
3.62871880e+05,5.10762631e+06,1.80529078e+02,regulatory--stop--g10,.28 ,529
3.62888861e+05,5.10761777e+06,1.80605346e+02,regulatory--yield--g10,.34 ,538
3.62890440e+05,5.10761560e+06,1.80570552e+02,regulatory--yield--g10,.34 ,539
3.62892357e+05,5.10761378e+06,1.80473434e+02,regulatory--yield--g10,.53 ,540
3.62903048e+05,5.10754235e+06,1.79859954e+02,complementary--chevron-left--g10,.35 ,575
3.62910238e+05,5.10749622e+06,1.79370422e+02,regulatory--stop--g10,.40 ,599
3.62911138e+05,5.10749400e+06,1.79310942e+02,regulatory--stop--g10,.40 ,600
3.62912188e+05,5.10749153e+06,1.79250327e+02,regulatory--stop--g10,.42 ,601
3.62909425e+05,5.10748524e+06,1.81718268e+02,regulatory--stop--g10,.34 ,602
3.62932977e+05,5.10747500e+06,1.79172140e+02,information--pedestrians-crossing--g10,.31 ,620
3.62952577e+05,5.10747292e+06,1.86774772e+02,information--pedestrians-crossing--g10,.38 ,621
nan,nan,nan,regulatory--yield--g10,.39 ,646
3.63060152e+05,5.10749868e+06,1.79761315e+02,information--pedestrians-crossing--g10,.44 ,684
3.63062721e+05,5.10749967e+06,1.79772854e+02,information--pedestrians-crossing--g10,.28 ,685
3.63068247e+05,5.10749584e+06,1.79797466e+02,regulatory--yield--g10,.27 ,689
3.63070444e+05,5.10749578e+06,1.79795134e+02,regulatory--yield--g10,.40 ,690
3.63074057e+05,5.10749910e+06,1.79948130e+02,regulatory--yield--g10.31 regulatory--yield--g10,.45 ,691
3.63074057e+05,5.10749910e+06,1.79948130e+02,regulatory--yield--g10.31 regulatory--yield--g10,.45 ,691
3.63076319e+05,5.10749949e+06,1.79992656e+02,regulatory--yield--g10.40 regulatory--yield--g10,.50 ,692
3.63076319e+05,5.10749949e+06,1.79992656e+02,regulatory--yield--g10.40 regulatory--yield--g10,.50 ,692
3.63078756e+05,5.10749982e+06,1.80091501e+02,regulatory--yield--g10,.52 ,693
3.63081352e+05,5.10750025e+06,1.80174817e+02,regulatory--yield--g10,.50 ,694
3.63083868e+05,5.10750119e+06,1.80065176e+02,regulatory--yield--g10,.63 ,695
